NAME COUNT
hoihba1c 6
kalsium,albumiinikorjattu,plasmasta 6
kalsium,ionisoitunut,ph7.4-korjattu,seerumista 6
kolestrolivldl 6
kreatiinikinaasi 6
kudostransglutaminaasi,igavasta-aineet 6
l-lymf# 6
lymfosyytit,absol.arvot,osatutkimus(b-lymf) 6
monosyytit,osatutkimus(l-monos) 6
munanvalku 6
neg.kontr. 6
oma-hb-a1c 6
oma-u-tutk,u-leuk-o 6
p-c-reaktiivinenproteiini 6
p-ferritin 6
p-fidd* 6
p-fxii 6
p-glu/2h* 6
p-gluk-0 6
p-glukoosi,plasma 6
p-il6 6
p-kors-9h 6
p-prop 6
p-prostataspesifinenantigeeni,suhde 6
p-tt-spa 6
p-vkorsol 6
p-vwfcb 6
pika-k 6
pika-na 6
pikau-sti,u-nitr-o 6
pujo 6
rauta 6
s-cmvavi 6
s-entlyse 6
s-etane 6
s-gastr17 6
s-golim 6
s-hevosenhilse,igevasta-aineet 6
s-inaabcf 6
s-ketiap 6
s-lakalbe 6
s-ld-2 6
s-matgrupp 6
s-morbabg 6
s-nortrip 6
s-pähk1er 6
s-pölyerittely 6
s-pölyryh 6
s-rsvabg 6
s-ruokaerittelyjaerittelytarvittaessa,igevasta-aineet(ko) 6
s-sukupuolihormonejasitovaglobuliini 6
s-testosteroni,vapaa,laskettu 6
s-testovi 6
s-tni 6
s-trijodityroniini,vapaa 6
sp-liik.im 6
sp-liik.np 6
steariinihappo 6
u-eryt* 6
u-hb-dec 6
u-krea** 6
u-leukosyytit 6
u-leukosyytit(kval) 6
u-levyepiteelit 6
u-sakka,eryt 6
u-suhteellinentiheys 6
v-ph 6
vb-vekaas5,chco3 6
vb-vekaas5,glu 6
xxmono 6
