ABBREVIATION	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL
u-huum-su	1658	0.0002%	4851	0.00063%	6509
s-lc1ab-o	1817	0.0002%	4847	0.00063%	6664
s-lkmab-o	1817	0.0002%	4847	0.00063%	6664
s-slaab-o	1817	0.0002%	4847	0.00063%	6664
s-pdhab-o	1817	0.0002%	4847	0.00063%	6664
b-edta-näy	187	0.0000%	4838	0.00062%	5025
s-o4.5.12	875	0.0001%	4808	0.00062%	5683
u-lieriöt	252730	0.0326%	4805	0.00062%	257535
ns-eos	2521	0.0003%	4801	0.00062%	7322
s-sentab	2174	0.0003%	4787	0.00062%	6961
p-la1/la2	1570	0.0002%	4773	0.00062%	6343
-hsvpvi	709	0.0001%	4773	0.00062%	5482
p-la2	1575	0.0002%	4768	0.00062%	6343
__-infabnh	385	0.0000%	4744	0.00061%	5129
s-anaabbl	1331	0.0002%	4736	0.00061%	6067
pt-hepy-r	419	0.0001%	4727	0.00061%	5146
pt-sper-1	398	0.0001%	4699	0.00061%	5097
fb-leuk	551504	0.0712%	4695	0.00061%	556199
b-inrvieri	11491	0.0015%	4694	0.00061%	16185
gluk-pika	6033	0.0008%	4684	0.00060%	10717
p-ferrit	843669	0.1089%	4677	0.00060%	848346
-siennho	548	0.0001%	4677	0.00060%	5225
b-edta10ml	886	0.0001%	4661	0.00060%	5547
p-alko	755	0.0001%	4653	0.00060%	5408
s-myplcf	781	0.0001%	4635	0.00060%	5416
s-b2gpabm	260	0.0000%	4631	0.00060%	4891
s-korsol	131034	0.0169%	4615	0.00060%	135649
-väri	2765	0.0004%	4615	0.00060%	7380
s-om5glie	3276	0.0004%	4612	0.00060%	7888
-sameus	2763	0.0004%	4608	0.00059%	7371
-hepynho	1961	0.0003%	4600	0.00059%	6561
u-prokre	12056	0.0016%	4597	0.00059%	16653
-viskos.	2747	0.0004%	4576	0.00059%	7323
sy-muutsol	2934	0.0004%	4567	0.00059%	7501
ts-pad-bio	1251	0.0002%	4555	0.00059%	5806
p-crpos	6444	0.0008%	4547	0.00059%	10991
b-bcr-qr	393	0.0001%	4547	0.00059%	4940
oma-trop-2	583	0.0001%	4526	0.00058%	5109
b-hb,tk	3450	0.0004%	4516	0.00058%	7966
s-ruokaer	13337	0.0017%	4509	0.00058%	17846
b-nipttri	955	0.0001%	4496	0.00058%	5451
b-retind	27723	0.0036%	4488	0.00058%	32211
b-kml-qr	805	0.0001%	4474	0.00058%	5279
p-aminoh	183	0.0000%	4471	0.00058%	4654
vb-hbo2sat	225909	0.0292%	4460	0.00058%	230369
s-toxocf	663	0.0001%	4441	0.00057%	5104
b-lydiff-t	835	0.0001%	4428	0.00057%	5263
ua-pco2	45922	0.0059%	4424	0.00057%	50346
rin/entnho	121	0.0000%	4423	0.00057%	4544
s-rarah1e	3626	0.0005%	4406	0.00057%	8032
b-edtanäy	793	0.0001%	4404	0.00057%	5197
s-leuabi	745	0.0001%	4401	0.00057%	5146
c-reaktiivinenproteiini,pika,tehdäänitse	5827	0.0008%	4398	0.00057%	10225
fp-transf	260402	0.0336%	4386	0.00057%	264788
li-spektri	332	0.0000%	4385	0.00057%	4717
pt-papahpv	7093	0.0009%	4381	0.00057%	11474
-vzvag	157	0.0000%	4363	0.00056%	4520
p-igg	156629	0.0202%	4350	0.00056%	160979
fl-leuk	140	0.0000%	4350	0.00056%	4490
ua-po2	42400	0.0055%	4291	0.00055%	46691
u-leuk-o*	3034	0.0004%	4279	0.00055%	7313
ts-pad-1tu	216	0.0000%	4271	0.00055%	4487
-riennho	195	0.0000%	4240	0.00055%	4435
s-dnanab.	2903	0.0004%	4222	0.00054%	7125
ps-straag	33134	0.0043%	4218	0.00054%	37352
s-yerp3ab	978	0.0001%	4214	0.00054%	5192
nu-albkrea	22899	0.0030%	4211	0.00054%	27110
-trfesat	64976	0.0084%	4201	0.00054%	69177
u-diffi	182	0.0000%	4191	0.00054%	4373
s-keto-o	156	0.0000%	4190	0.00054%	4346
s-prot	247579	0.0320%	4182	0.00054%	251761
hmpvag	109	0.0000%	4179	0.00054%	4288
infnho	146	0.0000%	4162	0.00054%	4308
-agglut	2441	0.0003%	4154	0.00054%	6595
li-igg-ind	12329	0.0016%	4148	0.00054%	16477
s-myosab	192	0.0000%	4137	0.00053%	4329
pt-utp-1	1645	0.0002%	4135	0.00053%	5780
fp-ca	262359	0.0339%	4130	0.00053%	266489
b-hba1cvt	35295	0.0046%	4125	0.00053%	39420
-myrkyt	541	0.0001%	4115	0.00053%	4656
s-chtrabg	2551	0.0003%	4114	0.00053%	6665
b-dpyd-d	1929	0.0002%	4087	0.00053%	6016
s-rarah8e	3965	0.0005%	4072	0.00053%	8037
s-igg4	26236	0.0034%	4071	0.00053%	30307
-diagn.	2612	0.0003%	4064	0.00052%	6676
f-diennho	250	0.0000%	4061	0.00052%	4311
vb-ca-i7.4	20262	0.0026%	4057	0.00052%	24319
l:e-abo-rh	145	0.0000%	4048	0.00052%	4193
b-hba1c/p	4171	0.0005%	4046	0.00052%	8217
ro52(ssa)	145	0.0000%	4021	0.00052%	4166
l:e-coombo	145	0.0000%	4021	0.00052%	4166
s-aspfume	5388	0.0007%	3999	0.00052%	9387
s-kalatue	130	0.0000%	3991	0.00052%	4121
s-yer9ab	1243	0.0002%	3968	0.00051%	5211
s-meoh	656	0.0001%	3964	0.00051%	4620
s-fsh	107751	0.0139%	3954	0.00051%	111705
s-ipro	622	0.0001%	3953	0.00051%	4575
s-ferrit	676314	0.0873%	3939	0.00051%	680253
fs-ace	92385	0.0119%	3934	0.00051%	96319
s-kryog	876	0.0001%	3932	0.00051%	4808
s-ige-ps	551	0.0001%	3931	0.00051%	4482
p-pct	86879	0.0112%	3925	0.00051%	90804
b-lytbifn	633	0.0001%	3917	0.00051%	4550
b-vrabtu5	1146	0.0001%	3915	0.00051%	5061
u-veri-o*	2941	0.0004%	3911	0.00050%	6852
oma-fp-glu	708	0.0001%	3902	0.00050%	4610
straag-o	732	0.0001%	3898	0.00050%	4630
s-metnef	16124	0.0021%	3894	0.00050%	20018
ps-strtunn	1620	0.0002%	3891	0.00050%	5511
cu-a1miglo	2206	0.0003%	3875	0.00050%	6081
-frtuab	869	0.0001%	3871	0.00050%	4740
-nocavi	169	0.0000%	3850	0.00050%	4019
s-ruocome	3069	0.0004%	3844	0.00050%	6913
e-plas-o	304	0.0000%	3840	0.00050%	4144
p-amylp	253776	0.0327%	3832	0.00049%	257608
-mygenho	521	0.0001%	3822	0.00049%	4343
li-neut+eo	1163	0.0002%	3816	0.00049%	4979
f-baktvi2	576	0.0001%	3815	0.00049%	4391
u-tutk-3	113	0.0000%	3793	0.00049%	3906
u-suhti-o	96843	0.0125%	3781	0.00049%	100624
s-dsgab	230	0.0000%	3779	0.00049%	4009
s-vehnäe	4233	0.0005%	3770	0.00049%	8003
s-yerp1ab	1428	0.0002%	3767	0.00049%	5195
s-testovl	53326	0.0069%	3739	0.00048%	57065
s-testo	227313	0.0293%	3734	0.00048%	231047
s-c-def	490	0.0001%	3726	0.00048%	4216
f-baktvi3	122	0.0000%	3709	0.00048%	3831
s-hhv6abm	175	0.0000%	3699	0.00048%	3874
u-ph-huu	45674	0.0059%	3692	0.00048%	49366
fp-pth	333249	0.0430%	3657	0.00047%	336906
p-crp.	11670	0.0015%	3644	0.00047%	15314
pikau-sti,u-leuk-o	845	0.0001%	3587	0.00046%	4432
pikau-sti,u-ph	861	0.0001%	3585	0.00046%	4446
p-crp-p	6519	0.0008%	3584	0.00046%	10103
s-infacf	1655	0.0002%	3584	0.00046%	5239
pikau-sti,u-prot-o	859	0.0001%	3584	0.00046%	4443
pikau-sti,u-eryt-o	866	0.0001%	3583	0.00046%	4449
as-un�k�-o	1168	0.0002%	3581	0.00046%	4749
pikau-sti,u-nitr-o	857	0.0001%	3580	0.00046%	4437
pikau-sti,u-keto-o	870	0.0001%	3579	0.00046%	4449
pikau-sti,u-gluk-o	870	0.0001%	3578	0.00046%	4448
candvi	177	0.0000%	3575	0.00046%	3752
s-kem	263	0.0000%	3570	0.00046%	3833
p-fibr	92407	0.0119%	3552	0.00046%	95959
p-iga	161135	0.0208%	3532	0.00046%	164667
s-yer3ab	1699	0.0002%	3520	0.00045%	5219
s-igg2	15636	0.0020%	3500	0.00045%	19136
s-vzvabg	22513	0.0029%	3489	0.00045%	26002
s-vzvabg	302	0.0000%	3489	0.00045%	3791
cp-gluk-lb	153180	0.0198%	3485	0.00045%	156665
s-iga	194571	0.0251%	3478	0.00045%	198049
s-sindab	389	0.0001%	3435	0.00044%	3824
s-igg3	15709	0.0020%	3431	0.00044%	19140
b-frax-d	373	0.0000%	3427	0.00044%	3800
p-ca19-9	51941	0.0067%	3422	0.00044%	55363
li-leuk	54425	0.0070%	3421	0.00044%	57846
s-puumavi	1681	0.0002%	3405	0.00044%	5086
li-hsv1abg	119	0.0000%	3401	0.00044%	3520
b-ldlre-d	317	0.0000%	3395	0.00044%	3712
u-a1miglo	976	0.0001%	3388	0.00044%	4364
down-riski	186	0.0000%	3374	0.00044%	3560
p-inr-o	874	0.0001%	3368	0.00043%	4242
t18-riski	186	0.0000%	3341	0.00043%	3527
-covid-19-koronavirustauti,nukleiinihappo(kval)	1477	0.0002%	3339	0.00043%	4816
ts-pad-3tu	558	0.0001%	3315	0.00043%	3873
p-crp-poc	6595	0.0009%	3309	0.00043%	9904
s-nglym5e	2276	0.0003%	3308	0.00043%	5584
p-crp-hoi	8769	0.0011%	3307	0.00043%	12076
pl-pad	804	0.0001%	3303	0.00043%	4107
af-baktvi	694	0.0001%	3299	0.00043%	3993
li-tbeabm	342	0.0000%	3288	0.00042%	3630
s-tsh	1346015	0.1737%	3286	0.00042%	1349301
s-hbvnho	210	0.0000%	3285	0.00042%	3495
pt-audio	646	0.0001%	3252	0.00042%	3898
s-tbetot	862	0.0001%	3242	0.00042%	4104
u-keto-o*	1716	0.0002%	3217	0.00042%	4933
virtsanliuskatutkimukset	128	0.0000%	3215	0.00041%	3343
s-nglym6e	2347	0.0003%	3213	0.00041%	5560
sy-leuk	45925	0.0059%	3196	0.00041%	49121
b-tpmt-d	217	0.0000%	3194	0.00041%	3411
s-ifx-ab	265	0.0000%	3191	0.00041%	3456
rvirag-o	1208	0.0002%	3185	0.00041%	4393
s-dsg1ab	680	0.0001%	3183	0.00041%	3863
s-w-h:a	752	0.0001%	3172	0.00041%	3924
s-ovomuke	7935	0.0010%	3158	0.00041%	11093
p-inr-hy	25401	0.0033%	3150	0.00041%	28551
s-campabg	3044	0.0004%	3133	0.00040%	6177
p-citratm	324	0.0000%	3132	0.00040%	3456
s-asca	265	0.0000%	3117	0.00040%	3382
b-hlabd	414	0.0001%	3105	0.00040%	3519
du-iglcl	3055	0.0004%	3100	0.00040%	6155
fl-clue-o	2367	0.0003%	3092	0.00040%	5459
p-k-vt	14903	0.0019%	3087	0.00040%	17990
s-ca-albk	22837	0.0029%	3086	0.00040%	25923
p-t3-v	171558	0.0221%	3065	0.00040%	174623
s-tsh-abr	9368	0.0012%	3063	0.00040%	12431
s-dsg3ab	811	0.0001%	3055	0.00039%	3866
s-cv19abg	563	0.0001%	3053	0.00039%	3616
ntkmom	39775	0.0051%	3043	0.00039%	42818
pappakmom	39777	0.0051%	3041	0.00039%	42818
fs-kol	1140830	0.1472%	3038	0.00039%	1143868
s-hsvabg	1836	0.0002%	3032	0.00039%	4868
s-rglym4e	1861	0.0002%	3030	0.00039%	4891
s-dmklots	54185	0.0070%	3025	0.00039%	57210
-palovvi	1261	0.0002%	3008	0.00039%	4269
s-leuabii	543	0.0001%	3001	0.00039%	3544
s-sindabm	461	0.0001%	2993	0.00039%	3454
li-gluk	48255	0.0062%	2992	0.00039%	51247
e-erytbla	22018	0.0028%	2986	0.00039%	25004
s-b12-akt	31456	0.0041%	2982	0.00038%	34438
pf-eryt	17256	0.0022%	2970	0.00038%	20226
s-igg1	16275	0.0021%	2970	0.00038%	19245
s-tr2seul	608	0.0001%	2969	0.00038%	3577
hcgbvkmom	39180	0.0051%	2968	0.00038%	42148
s-mtx	17421	0.0022%	2955	0.00038%	20376
ts-padgas2	1460	0.0002%	2949	0.00038%	4409
bm-fish	472	0.0001%	2948	0.00038%	3420
s-ebvabmo	770	0.0001%	2943	0.00038%	3713
-aspeag	365	0.0000%	2932	0.00038%	3297
s-campaba	2949	0.0004%	2929	0.00038%	5878
uv-ph	13558	0.0017%	2914	0.00038%	16472
u-huume-o	5377	0.0007%	2912	0.00038%	8289
s-langab	1854	0.0002%	2892	0.00037%	4746
u-ominp-h	43000	0.0055%	2888	0.00037%	45888
cb-hetiong	2200	0.0003%	2884	0.00037%	5084
b-tbevi	146	0.0000%	2880	0.00037%	3026
s-enal	732	0.0001%	2873	0.00037%	3605
s-pla2rab	1545	0.0002%	2872	0.00037%	4417
b-hlaad	407	0.0001%	2866	0.00037%	3273
p-cl	978995	0.1263%	2865	0.00037%	981860
s-t3-v	70333	0.0091%	2859	0.00037%	73192
p-tnt-hy	587	0.0001%	2854	0.00037%	3441
du-iglck	3345	0.0004%	2849	0.00037%	6194
s-igg-sum	2315	0.0003%	2847	0.00037%	5162
cp-crp-lb	7038	0.0009%	2841	0.00037%	9879
b-sekvy-d	939	0.0001%	2839	0.00037%	3778
pika-hba1c	426	0.0001%	2839	0.00037%	3265
sk-sien-vi	148	0.0000%	2810	0.00036%	2958
s-ruoat	2321	0.0003%	2805	0.00036%	5126
s-w-h:g.m	1161	0.0001%	2772	0.00036%	3933
li-syto	279	0.0000%	2771	0.00036%	3050
u-leuk-o.	228	0.0000%	2763	0.00036%	2991
u-keto-o.	229	0.0000%	2762	0.00036%	2991
s-strdnab	1443	0.0002%	2761	0.00036%	4204
u-prot-o.	230	0.0000%	2761	0.00036%	2991
u-gluk-o.	229	0.0000%	2761	0.00036%	2990
bup	351	0.0000%	2758	0.00036%	3109
li-tbeab	339	0.0000%	2753	0.00036%	3092
-pocabrc	6811	0.0009%	2744	0.00035%	9555
p-myogl	105575	0.0136%	2742	0.00035%	108317
s-w-o6.7	968	0.0001%	2737	0.00035%	3705
cladosp.he	425	0.0001%	2736	0.00035%	3161
b-cr	12687	0.0016%	2733	0.00035%	15420
s-aitma	1481	0.0002%	2733	0.00035%	4214
s-pujospe	9324	0.0012%	2732	0.00035%	12056
s-mikrobx	655	0.0001%	2719	0.00035%	3374
p-tnthoi	223	0.0000%	2719	0.00035%	2942
s-sindabg	745	0.0001%	2715	0.00035%	3460
u-epi	122598	0.0158%	2709	0.00035%	125307
b-hladrbd	391	0.0001%	2709	0.00035%	3100
s-hcvnhty	1044	0.0001%	2704	0.00035%	3748
s-haptog	34745	0.0045%	2703	0.00035%	37448
vb-o2-sis	75826	0.0098%	2700	0.00035%	78526
p-progly	2775	0.0004%	2696	0.00035%	5471
p-meoh	2834	0.0004%	2685	0.00035%	5519
fs-trigly	1175915	0.1518%	2682	0.00035%	1178597
s-w-h:d	1235	0.0002%	2679	0.00035%	3914
sy-mononuk	5557	0.0007%	2669	0.00034%	8226
s-maksaab	178	0.0000%	2666	0.00034%	2844
p-monab-o	573	0.0001%	2659	0.00034%	3232
oma-b-hb	4764	0.0006%	2656	0.00034%	7420
s-infli	8505	0.0011%	2653	0.00034%	11158
s-evircf	2586	0.0003%	2646	0.00034%	5232
b-thb	58211	0.0075%	2640	0.00034%	60851
glukoosi(päiv.hoitaja)	224	0.0000%	2632	0.00034%	2856
fp-laktaat	463022	0.0598%	2629	0.00034%	465651
p-acth	25721	0.0033%	2603	0.00034%	28324
s-adencf	2615	0.0003%	2591	0.00033%	5206
l-mono	305871	0.0395%	2590	0.00033%	308461
s-mito-ab	159	0.0000%	2589	0.00033%	2748
vb-hb-co	191222	0.0247%	2583	0.00033%	193805
p-etgly	2943	0.0004%	2581	0.00033%	5524
fp-fe	277733	0.0358%	2577	0.00033%	280310
s-enaabla	2047	0.0003%	2574	0.00033%	4621
fl-tric-na	239	0.0000%	2572	0.00033%	2811
p-ipro	2945	0.0004%	2568	0.00033%	5513
s-spnabvt	178	0.0000%	2567	0.00033%	2745
p-korsol	107166	0.0138%	2547	0.00033%	109713
s-htlvab	203	0.0000%	2546	0.00033%	2749
hba1cpika	1559	0.0002%	2534	0.00033%	4093
psa-v/psa	107626	0.0139%	2527	0.00033%	110153
mrsavi	111	0.0000%	2515	0.00032%	2626
p-khoi	1093	0.0001%	2513	0.00032%	3606
kol/hdlsuh	317004	0.0409%	2506	0.00032%	319510
s-kyhemag	980	0.0001%	2498	0.00032%	3478
cb-leuk-hy	5334	0.0007%	2490	0.00032%	7824
strepa	1870	0.0002%	2479	0.00032%	4349
s-etgly	654	0.0001%	2478	0.00032%	3132
p-kardabm	1916	0.0002%	2476	0.00032%	4392
-infrsvnho	796	0.0001%	2470	0.00032%	3266
enrirsvnho	273	0.0000%	2467	0.00032%	2740
p-tnih	12665	0.0016%	2460	0.00032%	15125
-toxonho	153	0.0000%	2459	0.00032%	2612
-sytokiir	116	0.0000%	2458	0.00032%	2574
s-campabm	3022	0.0004%	2457	0.00032%	5479
cp-gluk	52785	0.0068%	2455	0.00032%	55240
s-hbeag	310	0.0000%	2448	0.00032%	2758
s-mkomp-2	68768	0.0089%	2442	0.00032%	71210
-askirje	1240	0.0002%	2433	0.00031%	3673
s-cmvavi	5517	0.0007%	2432	0.00031%	7949
u-lieriö	43613	0.0056%	2423	0.00031%	46036
s-w-h:i	1508	0.0002%	2421	0.00031%	3929
p-asetoni	1903	0.0002%	2413	0.00031%	4316
i-stathb	587	0.0001%	2412	0.00031%	2999
i-statk	580	0.0001%	2412	0.00031%	2992
i-statna	588	0.0001%	2408	0.00031%	2996
s-histab	129	0.0000%	2405	0.00031%	2534
bm-resid	291	0.0000%	2401	0.00031%	2692
pt-eneg-1	170	0.0000%	2400	0.00031%	2570
-psa-v/t	1258	0.0002%	2399	0.00031%	3657
ihopisto	3596	0.0005%	2396	0.00031%	5992
s-okarba	676	0.0001%	2393	0.00031%	3069
fl-trihina	2524	0.0003%	2392	0.00031%	4916
-ebvnh	428	0.0001%	2376	0.00031%	2804
b-trfupfa	293	0.0000%	2374	0.00031%	2667
s-infbcf	2806	0.0004%	2366	0.00031%	5172
vb-hb-met	181951	0.0235%	2365	0.00031%	184316
s-vlseabm	12081	0.0016%	2357	0.00030%	14438
he-pad	405	0.0001%	2354	0.00030%	2759
li-hhv6nh	507	0.0001%	2349	0.00030%	2856
uv-hetashb	399	0.0001%	2345	0.00030%	2744
ts-hnpccih	1071	0.0001%	2343	0.00030%	3414
i-statcrea	1503	0.0002%	2338	0.00030%	3841
s-c-pept	7262	0.0009%	2333	0.00030%	9595
p-igm	86671	0.0112%	2331	0.00030%	89002
hevonen	1735	0.0002%	2322	0.00030%	4057
u-amfetct	560	0.0001%	2321	0.00030%	2881
s-pähcome	1544	0.0002%	2317	0.00030%	3861
s-w-o9.12	1229	0.0002%	2309	0.00030%	3538
s-mkomp-3	58364	0.0075%	2306	0.00030%	60670
s-toxoavi	2005	0.0003%	2304	0.00030%	4309
i-stathct	687	0.0001%	2302	0.00030%	2989
povnh	334	0.0000%	2299	0.00030%	2633
l-prom-m	5731	0.0007%	2289	0.00030%	8020
b-extem	249	0.0000%	2283	0.00029%	2532
b-fibtem	249	0.0000%	2282	0.00029%	2531
s-gt-cdt	21152	0.0027%	2281	0.00029%	23433
s-inhibb	5372	0.0007%	2280	0.00029%	7652
b-ti	993	0.0001%	2275	0.00029%	3268
p-psasäde	5055	0.0007%	2266	0.00029%	7321
vb-thb	162211	0.0209%	2261	0.00029%	164472
u-hcgo-lb	422	0.0001%	2261	0.00029%	2683
b-hhv6nh	1369	0.0002%	2257	0.00029%	3626
s-mkomp-4	58220	0.0075%	2255	0.00029%	60475
s-dnan-ab	719	0.0001%	2253	0.00029%	2972
p-fii	4292	0.0006%	2245	0.00029%	6537
-cand-vi	270	0.0000%	2243	0.00029%	2513
s-toxoaba	1674	0.0002%	2235	0.00029%	3909
s-igm	51649	0.0067%	2232	0.00029%	53881
s-nmdarab	113	0.0000%	2226	0.00029%	2339
s-vedolpa	687	0.0001%	2223	0.00029%	2910
b-bio	438	0.0001%	2223	0.00029%	2661
s-pakkas	336	0.0000%	2218	0.00029%	2554
pujo	1921	0.0002%	2217	0.00029%	4138
jo-1	214	0.0000%	2217	0.00029%	2431
d.pteronys	1603	0.0002%	2215	0.00029%	3818
u-levyepi	18114	0.0023%	2213	0.00029%	20327
s-ca12-5	102112	0.0132%	2211	0.00029%	104323
p-tnt-poc	157	0.0000%	2204	0.00028%	2361
p-inr-oma	1145	0.0001%	2201	0.00028%	3346
p-glukpoc	1400	0.0002%	2200	0.00028%	3600
p-lakthoi	944	0.0001%	2199	0.00028%	3143
s-hcg-tot	1274	0.0002%	2192	0.00028%	3466
p-fx	4347	0.0006%	2185	0.00028%	6532
s-morbab	532	0.0001%	2184	0.00028%	2716
s-gt	812044	0.1048%	2180	0.00028%	814224
b-tnt-oho	324	0.0000%	2177	0.00028%	2501
p-kysc	116919	0.0151%	2168	0.00028%	119087
l-baso-m	23768	0.0031%	2164	0.00028%	25932
l-baso-m	206	0.0000%	2164	0.00028%	2370
s-hbeab	331	0.0000%	2159	0.00028%	2490
du-na	8066	0.0010%	2155	0.00028%	10221
s-aqp4ab	432	0.0001%	2153	0.00028%	2585
sy-neut+eo	3194	0.0004%	2150	0.00028%	5344
-nt	37406	0.0048%	2147	0.00028%	39553
fs-gh	17446	0.0023%	2144	0.00028%	19590
p-pthrp	362	0.0000%	2144	0.00028%	2506
bm-aso2-qd	141	0.0000%	2130	0.00027%	2271
s-tob	4775	0.0006%	2123	0.00027%	6898
fl-candvi	991	0.0001%	2118	0.00027%	3109
s-amh	26764	0.0035%	2115	0.00027%	28879
s-vedolab	820	0.0001%	2111	0.00027%	2931
s-rsvcf	3101	0.0004%	2100	0.00027%	5201
s-seerumn	162	0.0000%	2099	0.00027%	2261
p-fxi	1723	0.0002%	2096	0.00027%	3819
vitascreen	2677	0.0003%	2094	0.00027%	4771
sy-gran	6202	0.0008%	2090	0.00027%	8292
p-fxii	1703	0.0002%	2088	0.00027%	3791
-crppika	2518	0.0003%	2087	0.00027%	4605
li-prot	58098	0.0075%	2085	0.00027%	60183
b-temp	26504	0.0034%	2085	0.00027%	28589
s-pr3abg	194	0.0000%	2084	0.00027%	2278
s-alfa-2	66021	0.0085%	2075	0.00027%	68096
b-hb-ief	426	0.0001%	2068	0.00027%	2494
ab-hb-met	580955	0.0750%	2066	0.00027%	583021
pt-pef	3370	0.0004%	2062	0.00027%	5432
li-hsvabg	464	0.0001%	2049	0.00026%	2513
fs-kol-ldl	1136346	0.1466%	2048	0.00026%	1138394
fp-krea	2084164	0.2690%	2042	0.00026%	2086206
ts-hepyvi	818	0.0001%	2037	0.00026%	2855
s-alfa-1	66166	0.0085%	2033	0.00026%	68199
s-w-h:b	1902	0.0002%	2028	0.00026%	3930
konsultaatiopyyntöerikoislääkärille	111	0.0000%	2026	0.00026%	2137
li-tpha	197	0.0000%	2025	0.00026%	2222
s-p�lyry	3002	0.0004%	2019	0.00026%	5021
lu-pad	798	0.0001%	2019	0.00026%	2817
s-koivspe	11601	0.0015%	2011	0.00026%	13612
s-timospe	11007	0.0014%	2009	0.00026%	13016
b-tni-v	237	0.0000%	2008	0.00026%	2245
s-morbabg	1653	0.0002%	2006	0.00026%	3659
p-fviii.	71131	0.0092%	2003	0.00026%	73134
s-tfr	287452	0.0371%	2000	0.00026%	289452
l-blast-m	7285	0.0009%	1975	0.00025%	9260
p-inr-poc	2092	0.0003%	1973	0.00025%	4065
s-anaab-a	525	0.0001%	1972	0.00025%	2497
b-hb-fr	419	0.0001%	1964	0.00025%	2383
ap-na	278996	0.0360%	1960	0.00025%	280956
ts-hemafc	187	0.0000%	1935	0.00025%	2122
s-tbeabg	1131	0.0001%	1927	0.00025%	3058
fs-fe	127102	0.0164%	1920	0.00025%	129022
pf-eos	5306	0.0007%	1911	0.00025%	7217
happisaturaatiovastaanotolla	114	0.0000%	1907	0.00025%	2021
ca++ph7.4	154903	0.0200%	1902	0.00025%	156805
b-liuskat	166367	0.0215%	1901	0.00025%	168268
ab-hb-co	568753	0.0734%	1891	0.00024%	570644
ex-eos	569	0.0001%	1890	0.00024%	2459
ab-hco3	93855	0.0121%	1875	0.00024%	95730
p-hcvnh	1049	0.0001%	1873	0.00024%	2922
vp-k	51045	0.0066%	1872	0.00024%	52917
s-pölyt	2534	0.0003%	1871	0.00024%	4405
s-beta-2	65498	0.0085%	1869	0.00024%	67367
s-seerumi	243	0.0000%	1868	0.00024%	2111
fs-transf	91848	0.0119%	1866	0.00024%	93714
s-valpr	105031	0.0136%	1860	0.00024%	106891
pf-ada	11579	0.0015%	1860	0.00024%	13439
vp-laktaat	50827	0.0066%	1859	0.00024%	52686
b-erytbl	7653	0.0010%	1859	0.00024%	9512
vp-na	51062	0.0066%	1856	0.00024%	52918
lipidit	5877	0.0008%	1850	0.00024%	7727
b-cd34-fc	782	0.0001%	1850	0.00024%	2632
b-hco3	44227	0.0057%	1847	0.00024%	46074
s-beta-1	65587	0.0085%	1844	0.00024%	67431
vp-gluk	50825	0.0066%	1843	0.00024%	52668
vp-ca-ion	50293	0.0065%	1836	0.00024%	52129
s-hhv6ab	135	0.0000%	1836	0.00024%	1971
vp-cl	50833	0.0066%	1832	0.00024%	52665
s-hae	393	0.0001%	1829	0.00024%	2222
s-nproh	539	0.0001%	1827	0.00024%	2366
cb-inrpika	2256	0.0003%	1824	0.00024%	4080
f-virag	277	0.0000%	1821	0.00024%	2098
s-rcora8e	2683	0.0003%	1820	0.00023%	4503
cb-laktaat	48761	0.0063%	1819	0.00023%	50580
p-kol-ldl	249612	0.0322%	1811	0.00023%	251423
s-morbabm	429	0.0001%	1803	0.00023%	2232
pf-prot	24277	0.0031%	1801	0.00023%	26078
koira,hils	2083	0.0003%	1797	0.00023%	3880
f-diennho*	356	0.0000%	1795	0.00023%	2151
s-album	60512	0.0078%	1793	0.00023%	62305
fs-trfesat	54435	0.0070%	1786	0.00023%	56221
u-ket-o	1607	0.0002%	1785	0.00023%	3392
s-ohkarba	21038	0.0027%	1784	0.00023%	22822
as-eryt	7295	0.0009%	1778	0.00023%	9073
s-ranao3e	6668	0.0009%	1778	0.00023%	8446
cb-to2c	47294	0.0061%	1776	0.00023%	49070
pulssi	11067	0.0014%	1776	0.00023%	12843
li-hhv6abg	132	0.0000%	1775	0.00023%	1907
s-jcvab	737	0.0001%	1773	0.00023%	2510
näytekulje	179	0.0000%	1770	0.00023%	1949
s-rjugr1e	6125	0.0008%	1769	0.00023%	7894
pf-kol	2319	0.0003%	1767	0.00023%	4086
l-liuskat	185078	0.0239%	1757	0.00023%	186835
s-adrab	382	0.0000%	1757	0.00023%	2139
l-sauvat	17096	0.0022%	1751	0.00023%	18847
ap-laktaat	283033	0.0365%	1750	0.00023%	284783
s-hs-crp	18281	0.0024%	1745	0.00023%	20026
b-tnt-o-pika	140	0.0000%	1735	0.00022%	1875
p-pbnp-lb	19895	0.0026%	1734	0.00022%	21629
u-käsma	117	0.0000%	1733	0.00022%	1850
kissa	2442	0.0003%	1732	0.00022%	4174
s-asetoni	711	0.0001%	1731	0.00022%	2442
du-k	6376	0.0008%	1730	0.00022%	8106
u-orgah	121	0.0000%	1729	0.00022%	1850
f-hb-o2	439	0.0001%	1725	0.00022%	2164
pt-gfreepio1	5351	0.0007%	1722	0.00022%	7073
ap-k	279275	0.0360%	1720	0.00022%	280995
b-hb-a1c	292638	0.0378%	1718	0.00022%	294356
l-meta-m	9318	0.0012%	1717	0.00022%	11035
pf-muutsol	1484	0.0002%	1713	0.00022%	3197
